filename,variance_of_laplacian
000000.jpg,52.2980
000001.jpg,52.2969
000002.jpg,45.5456
000003.jpg,43.4490
000004.jpg,45.6911
000005.jpg,41.3719
000006.jpg,42.8287
000007.jpg,36.5679
000008.jpg,35.9114
000009.jpg,39.2070
000010.jpg,32.8425
000011.jpg,35.7304
000012.jpg,28.6889
000013.jpg,27.8043
000014.jpg,30.7359
000015.jpg,24.0911
000016.jpg,22.1516
000017.jpg,24.6512
000018.jpg,19.0967
000019.jpg,17.7395
000020.jpg,19.7788
000021.jpg,15.6247
000022.jpg,16.0425
000023.jpg,12.5088
000024.jpg,12.9514
000025.jpg,13.1725
000026.jpg,9.7454
000027.jpg,8.5813
000028.jpg,9.4846
000029.jpg,6.6271
000030.jpg,7.7414
000031.jpg,5.9146
000032.jpg,5.3506
000033.jpg,5.8014
000034.jpg,4.4050
000035.jpg,5.1045
000036.jpg,3.9974
000037.jpg,4.5053
000038.jpg,3.7572
000039.jpg,3.5430
000040.jpg,3.7416
000041.jpg,3.2595
000042.jpg,3.1718
000043.jpg,3.3576
000044.jpg,3.0018
000045.jpg,2.9380
000046.jpg,3.0234
000047.jpg,2.7277
000048.jpg,2.8440
000049.jpg,2.8682
000050.jpg,2.6234
000051.jpg,2.6441
000052.jpg,2.8301
000053.jpg,2.7122
000054.jpg,2.7299
000055.jpg,2.8226
000056.jpg,2.7155
000057.jpg,2.7762
000058.jpg,2.9383
000059.jpg,2.7269
000060.jpg,2.8382
000061.jpg,2.9996
000062.jpg,3.0539
000063.jpg,2.9493
000064.jpg,3.1877
000065.jpg,3.3186
000066.jpg,3.1032
000067.jpg,3.5254
000068.jpg,3.5350
000069.jpg,3.8835
000070.jpg,4.2266
000071.jpg,3.9918
000072.jpg,4.5758
000073.jpg,5.2899
000074.jpg,5.2137
000075.jpg,4.9827
000076.jpg,5.7217
000077.jpg,5.8283
000078.jpg,6.4708
000079.jpg,6.0133
000080.jpg,7.4644
000081.jpg,7.9849
000082.jpg,7.5607
000083.jpg,8.8079
000084.jpg,10.0254
000085.jpg,11.4717
000086.jpg,14.2821
000087.jpg,16.2179
000088.jpg,16.2890
000089.jpg,17.0510
000090.jpg,15.7074
000091.jpg,15.3571
000092.jpg,17.4458
000093.jpg,17.0634
000094.jpg,17.3461
000095.jpg,14.7918
000096.jpg,14.7163
000097.jpg,16.8481
000098.jpg,16.5473
000099.jpg,16.3968
000100.jpg,16.7679
000101.jpg,15.7338
000102.jpg,16.7887
000103.jpg,15.4863
000104.jpg,16.5570
000105.jpg,15.2123
000106.jpg,15.2049
000107.jpg,16.7711
000108.jpg,14.9457
000109.jpg,14.7705
000110.jpg,16.3900
000111.jpg,15.5146
000112.jpg,15.6469
000113.jpg,15.9799
000114.jpg,15.3053
000115.jpg,16.4916
000116.jpg,15.5067
000117.jpg,19.4744
000118.jpg,21.9647
000119.jpg,33.9894
000120.jpg,56.0037
000121.jpg,76.8847
000122.jpg,118.5155
000123.jpg,118.5759
000124.jpg,141.8499
000125.jpg,173.6190
000126.jpg,200.0896
000127.jpg,214.4151
000128.jpg,227.2160
000129.jpg,228.6906
000130.jpg,223.3762
000131.jpg,214.2663
000132.jpg,196.0633
000133.jpg,179.8117
000134.jpg,167.3380
000135.jpg,150.0602
000136.jpg,140.2338
000137.jpg,136.4660
000138.jpg,134.6264
000139.jpg,133.4042
000140.jpg,134.2563
000141.jpg,103.6688
000142.jpg,104.2348
000143.jpg,102.4507
000144.jpg,104.6040
000145.jpg,104.2044
000146.jpg,105.0916
000147.jpg,104.7595
000148.jpg,103.1990
000149.jpg,103.8429
000150.jpg,105.8522
000151.jpg,105.2170
000152.jpg,106.0179
000153.jpg,107.3717
000154.jpg,106.4574
000155.jpg,77.5367
000156.jpg,78.6455
000157.jpg,77.9991
000158.jpg,76.6404
000159.jpg,77.1535
000160.jpg,75.1977
000161.jpg,59.2543
000162.jpg,56.3907
000163.jpg,57.1148
000164.jpg,54.6813
000165.jpg,53.8863
000166.jpg,54.8641
000167.jpg,52.2975
000168.jpg,53.2873
000169.jpg,52.8174
000170.jpg,54.8558
000171.jpg,54.8917
000172.jpg,53.0019
000173.jpg,53.3260
000174.jpg,52.2839
000175.jpg,53.7450
000176.jpg,53.8695
000177.jpg,52.5315
000178.jpg,52.4197
000179.jpg,51.1644
000180.jpg,51.9272
000181.jpg,52.0003
000182.jpg,50.9014
000183.jpg,50.4515
000184.jpg,51.1928
000185.jpg,50.4891
000186.jpg,51.7799
000187.jpg,53.0768
000188.jpg,52.8176
000189.jpg,54.3375
000190.jpg,53.8527
000191.jpg,54.0864
000192.jpg,55.9424
000193.jpg,55.9658
000194.jpg,56.4538
000195.jpg,57.6566
000196.jpg,57.7652
000197.jpg,56.7291
000198.jpg,57.4252
000199.jpg,56.9264
000200.jpg,57.5400
000201.jpg,57.6263
000202.jpg,57.5442
000203.jpg,58.2564
000204.jpg,57.7672
000205.jpg,58.2928
000206.jpg,55.9591
000207.jpg,55.3143
000208.jpg,55.2692
000209.jpg,53.5494
000210.jpg,53.3209
000211.jpg,53.8840
000212.jpg,53.4648
000213.jpg,50.9641
000214.jpg,49.0903
000215.jpg,47.9044
000216.jpg,41.0481
000217.jpg,41.6424
000218.jpg,43.2109
000219.jpg,38.5140
000220.jpg,38.5153
000221.jpg,35.7764
000222.jpg,27.9517
000223.jpg,21.8692
000224.jpg,15.2225
000225.jpg,15.0382
000226.jpg,13.4827
000227.jpg,10.9078
000228.jpg,5.8048
000229.jpg,4.9031
000230.jpg,4.8475
000231.jpg,6.0017
000232.jpg,6.2381
000233.jpg,6.3941
000234.jpg,6.4466
000235.jpg,8.1970
000236.jpg,8.2458
000237.jpg,8.0944
000238.jpg,8.3954
000239.jpg,9.0550
000240.jpg,9.5386
000241.jpg,11.3032
000242.jpg,12.3160
000243.jpg,12.3901
000244.jpg,14.5316
000245.jpg,14.5293
000246.jpg,15.3377
000247.jpg,16.0243
000248.jpg,17.5267
000249.jpg,18.1546
000250.jpg,18.1877
000251.jpg,21.2441
000252.jpg,20.2503
000253.jpg,23.6588
000254.jpg,23.7116
000255.jpg,22.8880
000256.jpg,26.8854
000257.jpg,24.0078
000258.jpg,28.3400
000259.jpg,29.6841
000260.jpg,30.6038
000261.jpg,37.5226
000262.jpg,42.7349
000263.jpg,51.1717
000264.jpg,57.8661
000265.jpg,64.4841
000266.jpg,70.5442
000267.jpg,72.7382
000268.jpg,81.6308
000269.jpg,81.4591
000270.jpg,84.2270
000271.jpg,81.3714
000272.jpg,83.2909
000273.jpg,90.5826
000274.jpg,87.6476
000275.jpg,87.8564
000276.jpg,94.2498
000277.jpg,92.6217
000278.jpg,95.3028
000279.jpg,93.0708
000280.jpg,95.8383
000281.jpg,96.0952
000282.jpg,94.3307
000283.jpg,94.6157
000284.jpg,96.5220
000285.jpg,95.1772
000286.jpg,96.9317
000287.jpg,94.6941
000288.jpg,95.2311
000289.jpg,97.2436
000290.jpg,95.4429
000291.jpg,97.1451
000292.jpg,96.9469
000293.jpg,96.9681
000294.jpg,94.9698
000295.jpg,97.2788
000296.jpg,95.2299
000297.jpg,97.4356
000298.jpg,95.6981
000299.jpg,95.2971
000300.jpg,97.3505
000301.jpg,95.2944
000302.jpg,97.2679
000303.jpg,95.5695
000304.jpg,97.3345
000305.jpg,96.7143
000306.jpg,94.9521
000307.jpg,96.8026
000308.jpg,94.5422
000309.jpg,96.8465
000310.jpg,95.3976
000311.jpg,96.8143
000312.jpg,95.2210
000313.jpg,96.6892
000314.jpg,94.5195
000315.jpg,95.8405
000316.jpg,93.0210
000317.jpg,90.6977
000318.jpg,90.9587
000319.jpg,86.5297
000320.jpg,80.1097
000321.jpg,82.0612
000322.jpg,76.7758
000323.jpg,71.5829
000324.jpg,67.7463
000325.jpg,65.2892
000326.jpg,62.1019
000327.jpg,59.8224
000328.jpg,57.7477
000329.jpg,51.1473
000330.jpg,45.0737
000331.jpg,37.0057
000332.jpg,36.7939
000333.jpg,36.6666
000334.jpg,35.0865
000335.jpg,26.0464
000336.jpg,13.4647
000337.jpg,7.1427
000338.jpg,4.3800
000339.jpg,6.3706
000340.jpg,12.1303
000341.jpg,12.6891
000342.jpg,12.6024
000343.jpg,11.2151
000344.jpg,12.0327
000345.jpg,11.1908
000346.jpg,11.5972
000347.jpg,12.5248
000348.jpg,11.8304
000349.jpg,15.1186
000350.jpg,16.9358
000351.jpg,18.5956
000352.jpg,18.7587
000353.jpg,19.7403
000354.jpg,23.1257
000355.jpg,29.0957
000356.jpg,33.8786
000357.jpg,33.5488
000358.jpg,39.8245
000359.jpg,39.7268
000360.jpg,49.7370
000361.jpg,53.0137
000362.jpg,56.4815
000363.jpg,57.0088
000364.jpg,60.7580
000365.jpg,58.9584
000366.jpg,61.6470
000367.jpg,61.5493
000368.jpg,62.6473
000369.jpg,61.8950
000370.jpg,62.9240
000371.jpg,63.9616
000372.jpg,63.1143
000373.jpg,62.8932
000374.jpg,63.4464
000375.jpg,61.3071
000376.jpg,62.4365
000377.jpg,60.9238
000378.jpg,62.1249
000379.jpg,61.1247
000380.jpg,61.7507
000381.jpg,62.4000
000382.jpg,61.6553
000383.jpg,60.9915
000384.jpg,62.0325
000385.jpg,60.4638
000386.jpg,60.5940
000387.jpg,61.6562
000388.jpg,60.3829
000389.jpg,60.8454
000390.jpg,61.6775
000391.jpg,61.6779
000392.jpg,24.8232
000393.jpg,12.7464
000394.jpg,8.4058
000395.jpg,6.1715
000396.jpg,5.0825
000397.jpg,5.1370
000398.jpg,5.3449
000399.jpg,5.6670
000400.jpg,6.3325
000401.jpg,7.5834
000402.jpg,9.3767
000403.jpg,12.9937
000404.jpg,18.0478
000405.jpg,27.2745
000406.jpg,64.7859
000407.jpg,63.5748
000408.jpg,61.5083
000409.jpg,66.2298
000410.jpg,60.2230
000411.jpg,62.9265
000412.jpg,64.6040
000413.jpg,60.8925
000414.jpg,62.7502
000415.jpg,62.1901
000416.jpg,61.6871
000417.jpg,61.9939
000418.jpg,67.3064
000419.jpg,68.0452
000420.jpg,68.8029
000421.jpg,71.4125
000422.jpg,74.4649
000423.jpg,74.6896
000424.jpg,76.3198
000425.jpg,76.2015
000426.jpg,75.3929
000427.jpg,77.1480
000428.jpg,76.7354
000429.jpg,75.6519
000430.jpg,76.9367
000431.jpg,75.9532
000432.jpg,77.1800
000433.jpg,76.2769
000434.jpg,76.6761
000435.jpg,77.5420
000436.jpg,76.2128
000437.jpg,77.3641
000438.jpg,76.4009
000439.jpg,77.5969
000440.jpg,77.6050
000441.jpg,76.6535
000442.jpg,77.4829
000443.jpg,76.7988
000444.jpg,77.3747
000445.jpg,76.6619
000446.jpg,77.3129
000447.jpg,76.5679
000448.jpg,77.2927
000449.jpg,76.7220
000450.jpg,76.5865
000451.jpg,77.1601
000452.jpg,76.7405
000453.jpg,70.3970
000454.jpg,59.3321
000455.jpg,41.0554
000456.jpg,33.2612
000457.jpg,30.5443
000458.jpg,24.0757
000459.jpg,19.9844
000460.jpg,17.3455
000461.jpg,16.7532
000462.jpg,17.9149
000463.jpg,15.9199
000464.jpg,15.9189
000465.jpg,11.2741
000466.jpg,6.1162
000467.jpg,9.1592
000468.jpg,10.6058
000469.jpg,9.3454
000470.jpg,12.2522
000471.jpg,11.2005
000472.jpg,12.2142
000473.jpg,11.5850
000474.jpg,13.8485
000475.jpg,12.0853
000476.jpg,13.0027
000477.jpg,14.3883
000478.jpg,12.0775
000479.jpg,12.2962
000480.jpg,14.6346
000481.jpg,11.9319
000482.jpg,15.3575
000483.jpg,13.6677
000484.jpg,15.6010
000485.jpg,13.0574
000486.jpg,15.3014
000487.jpg,13.1209
000488.jpg,14.8437
000489.jpg,14.8606
000490.jpg,12.6840
000491.jpg,14.4659
000492.jpg,13.0808
000493.jpg,15.1656
000494.jpg,13.9463
000495.jpg,13.9420
000496.jpg,15.2522
000497.jpg,13.7116
000498.jpg,13.3171
000499.jpg,14.9940
000500.jpg,13.4205
000501.jpg,13.7968
