filename,variance_of_laplacian,dest
000000.jpg,52.2980,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000000.jpg
000001.jpg,52.2969,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000001.jpg
000002.jpg,45.5456,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000002.jpg
000003.jpg,43.4490,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000003.jpg
000004.jpg,45.6911,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000004.jpg
000005.jpg,41.3719,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000005.jpg
000006.jpg,42.8287,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000006.jpg
000007.jpg,36.5679,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000007.jpg
000008.jpg,35.9114,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000008.jpg
000009.jpg,39.2070,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000009.jpg
000010.jpg,32.8425,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000010.jpg
000011.jpg,35.7304,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000011.jpg
000012.jpg,28.6889,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000012.jpg
000013.jpg,27.8043,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000013.jpg
000014.jpg,30.7359,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000014.jpg
000015.jpg,24.0911,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000015.jpg
000016.jpg,22.1516,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000016.jpg
000017.jpg,24.6512,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000017.jpg
000018.jpg,19.0967,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000018.jpg
000019.jpg,17.7395,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000019.jpg
000020.jpg,19.7788,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000020.jpg
000021.jpg,15.6247,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000021.jpg
000022.jpg,16.0425,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000022.jpg
000023.jpg,12.5088,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000023.jpg
000024.jpg,12.9514,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000024.jpg
000025.jpg,13.1725,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000025.jpg
000026.jpg,9.7454,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000026.jpg
000027.jpg,8.5813,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000027.jpg
000028.jpg,9.4846,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000028.jpg
000029.jpg,6.6271,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000029.jpg
000030.jpg,7.7414,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000030.jpg
000031.jpg,5.9146,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000031.jpg
000032.jpg,5.3506,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000032.jpg
000033.jpg,5.8014,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000033.jpg
000034.jpg,4.4050,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000034.jpg
000035.jpg,5.1045,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000035.jpg
000036.jpg,3.9974,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000036.jpg
000037.jpg,4.5053,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000037.jpg
000038.jpg,3.7572,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000038.jpg
000039.jpg,3.5430,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000039.jpg
000040.jpg,3.7416,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000040.jpg
000041.jpg,3.2595,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000041.jpg
000042.jpg,3.1718,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000042.jpg
000043.jpg,3.3576,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000043.jpg
000044.jpg,3.0018,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000044.jpg
000045.jpg,2.9380,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000045.jpg
000046.jpg,3.0234,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000046.jpg
000047.jpg,2.7277,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000047.jpg
000048.jpg,2.8440,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000048.jpg
000049.jpg,2.8682,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000049.jpg
000050.jpg,2.6234,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000050.jpg
000051.jpg,2.6441,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000051.jpg
000052.jpg,2.8301,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000052.jpg
000053.jpg,2.7122,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000053.jpg
000054.jpg,2.7299,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000054.jpg
000055.jpg,2.8226,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000055.jpg
000056.jpg,2.7155,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000056.jpg
000057.jpg,2.7762,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000057.jpg
000058.jpg,2.9383,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000058.jpg
000059.jpg,2.7269,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000059.jpg
000060.jpg,2.8382,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000060.jpg
000061.jpg,2.9996,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000061.jpg
000062.jpg,3.0539,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000062.jpg
000063.jpg,2.9493,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000063.jpg
000064.jpg,3.1877,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000064.jpg
000065.jpg,3.3186,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000065.jpg
000066.jpg,3.1032,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000066.jpg
000067.jpg,3.5254,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000067.jpg
000068.jpg,3.5350,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000068.jpg
000069.jpg,3.8835,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000069.jpg
000070.jpg,4.2266,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000070.jpg
000071.jpg,3.9918,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000071.jpg
000072.jpg,4.5758,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000072.jpg
000073.jpg,5.2899,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000073.jpg
000074.jpg,5.2137,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000074.jpg
000075.jpg,4.9827,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000075.jpg
000076.jpg,5.7217,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000076.jpg
000077.jpg,5.8283,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000077.jpg
000078.jpg,6.4708,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000078.jpg
000079.jpg,6.0133,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000079.jpg
000080.jpg,7.4644,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000080.jpg
000081.jpg,7.9849,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000081.jpg
000082.jpg,7.5607,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000082.jpg
000083.jpg,8.8079,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000083.jpg
000084.jpg,10.0254,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000084.jpg
000085.jpg,11.4717,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000085.jpg
000086.jpg,14.2821,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000086.jpg
000087.jpg,16.2179,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000087.jpg
000088.jpg,16.2890,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000088.jpg
000089.jpg,17.0510,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000089.jpg
000090.jpg,15.7074,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000090.jpg
000091.jpg,15.3571,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000091.jpg
000092.jpg,17.4458,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000092.jpg
000093.jpg,17.0634,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000093.jpg
000094.jpg,17.3461,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000094.jpg
000095.jpg,14.7918,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000095.jpg
000096.jpg,14.7163,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000096.jpg
000097.jpg,16.8481,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000097.jpg
000098.jpg,16.5473,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000098.jpg
000099.jpg,16.3968,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000099.jpg
000100.jpg,16.7679,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000100.jpg
000101.jpg,15.7338,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000101.jpg
000102.jpg,16.7887,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000102.jpg
000103.jpg,15.4863,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000103.jpg
000104.jpg,16.5570,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000104.jpg
000105.jpg,15.2123,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000105.jpg
000106.jpg,15.2049,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000106.jpg
000107.jpg,16.7711,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000107.jpg
000108.jpg,14.9457,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000108.jpg
000109.jpg,14.7705,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000109.jpg
000110.jpg,16.3900,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000110.jpg
000111.jpg,15.5146,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000111.jpg
000112.jpg,15.6469,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000112.jpg
000113.jpg,15.9799,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000113.jpg
000114.jpg,15.3053,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000114.jpg
000115.jpg,16.4916,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000115.jpg
000116.jpg,15.5067,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000116.jpg
000117.jpg,19.4744,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000117.jpg
000118.jpg,21.9647,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000118.jpg
000119.jpg,33.9894,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000119.jpg
000120.jpg,56.0037,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000120.jpg
000121.jpg,76.8847,/Users/jeff/python/10_demo/v1/frames_step1/blurred_frames/000121.jpg
