index,video_id,url,title,duration,duration_seconds,views,upload_date,channel
0,iZXK1R_nqgc,https://www.youtube.com/watch?v=iZXK1R_nqgc,[공익광고협의회] 2005 1분의 배려,0:31,31,284084,,KOBACO공익광고협의회
1,X6UOxyD0Wbk,https://www.youtube.com/watch?v=X6UOxyD0Wbk,"이건 그냥, 평범한 헤드폰 광고 (Full.ver)",0:55,55,1523422,,경상남도교육청 특수교육원
2,yy3ygWphwGo,https://www.youtube.com/watch?v=yy3ygWphwGo,"조정석, '야나두처럼'  야나두영어 1분광고",1:01,61,118858,,k miss
3,_SYFkhPq5A8,https://www.youtube.com/watch?v=_SYFkhPq5A8,(2021 강릉광고 1분영상 공모전 수상작) 강릉설명서,1:12,72,56033,,강릉시
4,Z5x_4prkwnU,https://www.youtube.com/watch?v=Z5x_4prkwnU,광고 투게더 20년도 광고 1분 30초 ver,1:29,89,281,,The stage
5,W6sZWAbiwrE,https://www.youtube.com/watch?v=W6sZWAbiwrE,5초만 봐도 되는 1분짜리 광고,1:05,65,3373,,ᄋᄉᄉᄋ Tube
6,ulXcDb0sfKs,https://www.youtube.com/watch?v=ulXcDb0sfKs,[ 풍신 ] 제시 광고 촬영 인터뷰_1분 영상,0:55,55,42759,,ULU Games
7,CWSFgFefyOs,https://www.youtube.com/watch?v=CWSFgFefyOs,(2021 강릉광고 1분 영상 공모전 수상작) 강릉아들 서울엄마,1:06,66,3235,,강릉시
8,9tdScrAzNLE,https://www.youtube.com/watch?v=9tdScrAzNLE,글루타셀 1분 광고,1:00,60,129282,,스템디알
9,7mPjIvWvMgM,https://www.youtube.com/watch?v=7mPjIvWvMgM,2023 생명나눔 공익광고(1분),1:01,61,137,,한국생명사랑재단
10,_1QtqUfB-cQ,https://www.youtube.com/watch?v=_1QtqUfB-cQ,[광고] 남산맥주 광고 - 1분30초 unofficial,1:23,83,687,,Commons
11,2092feP7rHE,https://www.youtube.com/watch?v=2092feP7rHE,[기록] 1분 공익광고 과제,1:04,64,386,,남이전
12,O7Ff_EBaGlY,https://www.youtube.com/watch?v=O7Ff_EBaGlY,영탁 X 에이플러스클린업 마스크 광고 영상 - 1분 Full Ver.,1:01,61,14586,,SOUPMALL TV
13,c338YXgVU3k,https://www.youtube.com/watch?v=c338YXgVU3k,수목토CF광고1분,1:04,64,116,,수목토 일라이트
14,mNEPw2Lsr3I,https://www.youtube.com/watch?v=mNEPw2Lsr3I,"(2021 강릉광고 1분 영상 공모전 수상작) 새처럼, 강릉으로",1:02,62,4208,,강릉시
15,woPobflQgsk,https://www.youtube.com/watch?v=woPobflQgsk,(2021 강릉광고 1분 영상 공모전 수상작) 아빠와 아들의 강릉라이프,1:19,79,482,,강릉시
16,P5iQ0uRjmfU,https://www.youtube.com/watch?v=P5iQ0uRjmfU,호관원프리미엄 케이블TV광고_1분,1:01,61,11863,,동진제약 [호관원]공식채널
17,t8Ork6Hc23k,https://www.youtube.com/watch?v=t8Ork6Hc23k,1분 바이럴 광고,1:05,65,1498,,DOROTHY WORKS
18,20EErZgWXGk,https://www.youtube.com/watch?v=20EErZgWXGk,[1분 영상] 6조 광고패러디(9기),0:37,37,250,,팝콘영화제작소
19,tLdTctr-xLI,https://www.youtube.com/watch?v=tLdTctr-xLI,코아드자동문 TV 광고 CF-1분,1:00,60,3079,,코아드 자동문
20,OavuJplKOhg,https://www.youtube.com/watch?v=OavuJplKOhg,Breaking the Limits of Nonprofit Advertising! 🎉ㅣ1 Minute Fruit,1:15,75,44,,사랑의열매사회복지공동모금회
21,-Ss6_pmSEZY,https://www.youtube.com/watch?v=-Ss6_pmSEZY,[1분영상] 1조 광고패러디 (9기),1:05,65,297,,팝콘영화제작소
22,9evz-BnCHc8,https://www.youtube.com/watch?v=9evz-BnCHc8,장조은 1분광고영상,1:01,61,6314,,위에드
23,EtUYyaG3lSA,https://www.youtube.com/watch?v=EtUYyaG3lSA,1분 광고만들기 시간 단 8번 교육만에 만들어진 영상!!!!,0:37,37,42,,주안영상미디어센터
