	video link	frame (s)	reason
1	https://www.youtube.com/watch?v=_JWz25QeUeE	5s, 	
2	https://www.youtube.com/watch?v=s_RnwVDiUMI		
3	https://www.youtube.com/watch?v=YDqjZAZOuSo		
4	https://www.youtube.com/watch?v=vEiNscow8mM		
5	https://www.youtube.com/watch?v=Bcpu-jqAL6w		
			
6	https://www.youtube.com/watch?v=41wHh5sV4mk		
7	https://www.youtube.com/watch?v=R3rBlZGEssw		
8	https://www.youtube.com/watch?v=amFNihngoIQ		
9	https://www.youtube.com/watch?v=MQ2iMQoiy3o		
10	https://www.youtube.com/watch?v=PWzZaekPY2s		
